"Date of sale","Time of sale","Date of listing","Bundle","Buyer","Brand","Description","Size","Item price","Buyer shipping cost","Total","USPS Cost","Depop fee","Depop Payments fee","Boosting fee","Total fee VAT","Total fee excl. VAT","Payment type","Category","Country","Unknown Tax","US Sales tax","Australia Sales tax","Refunded to buyer amount","Fees refunded to seller"
"24/02/2023","6:46 PM","21/02/2023","No","miwawaa","N/A","Gorpcore cropped bomber jacket

00s brown cropped lightweight bomber. Features zip fastening four pockets on front and one one the arm. Rib knit cuffs and hem. Great condition! 

✰ Measurements
Label - S fits UK6/8/10
Length - 19.5”
Shoulder to shoulder - 15”
Pit to pit - 17.5”
Sleeve from pit - 20”
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £19.80
✰ EUROPE - £11.12

🐸 Sales are final! 🐸
FC424","S","£38.00","£3.95","£41.95","£0.00","£4.20","£1.52","=""-""","£0.95","£4.77","STRIPE","Outerwear","GB",,,,"£3.95","£0.54"
"25/02/2023","12:34 AM","01/02/2023","No","miwawaa","N/A","Y2k biker T-shirt

2000s biker tee featuring fake metal stud graphic on front. Logo reads ‘West Coast Choppers’. Logo is off-centre. A few studs have fallen off as pictured some faint grey marks on T-shirt body. Otherwise good condition! 

✰ Measurements
Label - no label fits S UK8/10
Length - 23.5”
Pit to pit - 15.5”
Shoulder to shoulder - 12.5”
Sleeve from pit - 1.5”
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £9.75
✰ EUROPE - £8.75

🐰 Sales are final! 🐰","S","£18.00","£3.95","£21.95","£0.00","£2.20","£0.94","=""-""","£0.52","£2.62","STRIPE","T-shirts","GB",,,,"£3.95","£0.57"
"25/02/2023","7:26 PM","02/02/2023","No","minapirusa","Diesel","2000s Diesel tshirt 

Gorpcore vintage Diesel tshirt. Dark grey colour with white ‘diesel’ graphic. Features chunky hem and raw seam details. Excellent condition! 

✰ Measurements
Label - M Fits S/M UK8/10/12
Length - 22.5""
Pit to pit - 15""
Shoulder to shoulder - 14""
Sleeve from pit - 1""
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £9.75
✰ EUROPE - £8.75

🐸 Sales are final! 🐸","M","£35.00","£9.75","£44.75","£0.00","£4.48","£1.60","=""-""","£1.01","£5.07","STRIPE","T-shirts","US",,,,"N/A","N/A"
"26/02/2023","12:29 PM","28/01/2023","No","lottiebrazier","N/A","Gorpcore cargo shoulder bag  

Vintage Khaki canvas bag with brown trim and fake leather detailing. Two cargo pockets at front interior zip pocket and little sleeves. Excellent condition! 

✰ Measurements
Width - 15""
Height - 12/12.5""
Opening - 10.5/11""

✰ 2+ items for free UK shipping!!
✰ USA - £15
✰ EUROPE - £10

🐰 Sales are final! 🐰",,"£40.00","£3.95","£43.95","£0.00","£4.40","£1.57","=""-""","£1.00","£4.97","STRIPE","Bags & Purses","GB",,,,"N/A","N/A"
"26/02/2023","6:59 PM","05/02/2023","No","honorray","N/A","Gorpcore beige asymmetric jacket 

2000s zip up lightweight jacket. Features asymmetric diagonal zip opening two zip pocket on the front. Zip cuffs and red screen print on the back. Excellent condition!

✰ Measurements
Label - 2 fits M UK10/12
Length - 22.5”
Pit to pit - 19”
Shoulder - 4.5”
Sleeve - 22.5/23”
XS/S mannequin. (Pinned to fit)

✰ 2+ items for free UK shipping!!
✰ USA - £20
✰ EUROPE - £12

🐸 Sales are final! 🐸","M","£50.00","£3.95","£53.95","£0.00","£5.40","£0.00","=""-""","£0.90","£4.50","PAYPAL","Outerwear","GB",,,,"N/A","N/A"
"26/02/2023","10:50 PM","01/02/2023","No","abigail1357","N/A","Gorpcore cargo jacket

2000s grey cargo jacket. Features four pockets on front and one mini arm pocket. Rib knit hem and cuffs eyelet details on collar and hem. Knit is piling a bit and two small frays on back of right sleeve by cuff sized 8x2mm and 5x1mm. Not noticeable does not affect wearability. Otherwise Great condition!

✰ Measurements

Label - M Fits UK10/12
Length - 21.75”
Shoulder to shoulder - 15.5”
Sleeve - 19”
Pit to pit - 19”
XS/S mannequin. (Pinned to fit)

✰ 2+ items for free UK shipping!!
✰ USA - £21
✰ EUROPE - £12.15

🐰 Sales are final! 🐰","M","£55.00","£3.95","£58.95","£0.00","£5.90","£0.00","=""-""","£0.98","£4.92","PAYPAL","Outerwear","GB",,,,"N/A","N/A"
"27/02/2023","12:14 PM","08/01/2023","No","ninaninanina6","Cop Copine","90s Cop Copine maxi dress

Cop Copine denim long dress. Features shoulder straps with contrast details. Two big waist pockets one has rubber logo! Back has adjustable elastic toggle to tighten bust/waist. Excellent condition!

✰ Measurements
Label - 38 fits M UK10-12
Pit to pit - 16.75”
Length - 49”
Waist - 17”
XS/S mannequin. (Pinned)

✰ 2+ items for free UK shipping!!
✰ USA - £20
✰ EUROPE - £12

🐰 Sales are final! 🐰","M","£56.00","£0.00","£56.00","£0.00","£5.60","£0.00","=""-""","£0.93","£4.67","PAYPAL","Dresses","GB",,,,"N/A","N/A"
"01/03/2023","2:46 AM","27/02/2023","Yes","miwawaa","Esprit","Edc esprit zip sweater

2000s zip up EDC sweater. Light pink colour featuring red and pink screen print and zip up collar. Excellent condition! 

✰ Measurements

Label - L fits UK12/14
Length -23”
Shoulder to shoulder - 15.5”
Pit to pit - 17.75”
Sleeve from pit - 20.5”
XS/S mannequin. (Pinned to fit)

✰ 2+ items for free UK shipping!!
✰ USA - £19.80
✰ EUROPE - £11.12

🐸 Sales are final! 🐸","L","£40.00","£0.00","£101.00","£0.00","£4.00","£3.23","=""-""","£1.21","£6.02","STRIPE","Sweatshirts","GB",,,,"N/A","N/A"
"01/03/2023","2:46 AM","28/02/2023","Yes","miwawaa","N/A","Gorpcore red graphic tee

2000s red tshirt featuring white footsteps screen print with two black paw prints. Excellent condition!

✰ Measurements
Label - 2 fits M UK10/12
Length -21.5”
Shoulder to shoulder - 13.5”
Pit to pit - 17.25”
Sleeve from pit - 1”
XS/S mannequin. (Pinned)

✰ 2+ items for free UK shipping!!
✰ USA - £10.65
✰ EUROPE - £9.20

🐸 Sales are final! 🐸","M","£26.00","=""-""","=""-""","=""-""","£2.60","=""-""","=""-""","=""-""","=""-""","STRIPE","T-shirts","GB","=""-""","=""-""","=""-""","N/A","N/A"
"01/03/2023","2:46 AM","28/02/2023","Yes","miwawaa","N/A","Zip up knit hoodie 

Gorpcore 2000s knit hoodie. Beige/cream colour. Features rib knit on sleeves hem and along hood and pocket edges. Some faint grey marks on hood and small mark just above pocket on right side. Otherwise great condition! 

✰ Measurements
Label - no label fits S/M UK8/10/12
Length - 20”
Shoulder to shoulder - 13”
Pit to pit - 16.5”
Sleeve from pit - 19”
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £19.80
✰ EUROPE - £11.12

🐸 Sales are final! 🐸","S","£35.00","=""-""","=""-""","=""-""","£3.50","=""-""","=""-""","=""-""","=""-""","STRIPE","Sweaters","GB","=""-""","=""-""","=""-""","N/A","N/A"
"01/03/2023","10:02 PM","28/02/2023","No","imaan_123","Esprit","Esprit Rib knit zip jumper 

2000s esprit double zip jumper. Features collar which can be zipped up or lay across shoulders. Excellent condition!

✰ Measurements
Label - XS/S fits UK6/8/10
Length - 22”
Pit to pit - 15”
Sleeve from neck - 27.5”
Sleeve from pit - 17.5”
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £20
✰ EUROPE - £13.62

🐸 Sales are final! 🐸","S","£60.00","£20.00","£84.65","£0.00","£8.00","£2.75","=""-""","£1.79","£8.96","STRIPE","Sweaters","US",,"£4.65",,"N/A","N/A"
"02/03/2023","9:22 AM","07/01/2023","Yes","ssserenambroseellis","N/A","00s asymmetric top

90s 00s pinstripe sleeve tee. Black is quite thin cotton grey panels are a thicker fabric. Features graphic text design on front with contrasting stitching and fabrics. Slight piling around armpits and back. Otherwise great condition!

✰ Measurements
Label - S fits UK8-10
Length - 23.5”
Pit to pit - 14.75”
Shoulder to shoulder - 14”
Sleeve - 26”
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £10.65
✰ EUROPE - £9.20

🦋 Sales are final! 🦋","S","£22.00","£0.00","£87.00","£0.00","£2.20","£0.00","=""-""","£0.37","£1.83","PAYPAL","T-shirts","GB",,,,"N/A","N/A"
"02/03/2023","9:22 AM","28/02/2023","Yes","ssserenambroseellis","N/A","Gorpcore lightweight jacket

2000s lightweight corduroy/knit jacket. Features corduroy with print. Contrast rib knit sleeves collar and back. Excellent condition!

✰ Measurements
Label - 2 fits S/M UK8/10/12
Length - 22”
Shoulder to shoulder - 14”
Pit to pit - 16”
Sleeve from pit - 18”
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £20
✰ EUROPE - £13.62

🐸 Sales are final! 🐸","S","£65.00","=""-""","=""-""","=""-""","£6.50","=""-""","=""-""","=""-""","=""-""","PAYPAL","Outerwear","GB","=""-""","=""-""","=""-""","N/A","N/A"
"04/03/2023","3:37 PM","07/02/2023","Yes","roxiegomess","N/A","Gorpcore zip up sweater 

Vintage 2000s red zip up turtleneck jumper. Features rib knit on hem collar and cuffs. Excellent condition! 

✰ Measurements
Label - UK12 fits M/L
Length - 22.5”
Pit to pit - 15.5”
Sleeve from neck - 27”
60% Cotton 40% Acrylic
XS/S mannequin. (Pinned to fit)

✰ 2+ items for free UK shipping!!
✰ USA - £20
✰ EUROPE - £12.15

🐸 Sales are final! 🐸","12","£48.00","£0.00","£73.00","£0.00","£4.80","£2.42","=""-""","£1.20","£6.02","STRIPE","Sweaters","GB",,,,"N/A","N/A"
"04/03/2023","3:37 PM","28/02/2023","Yes","roxiegomess","N/A","Khaki asymmetric graphic tshirt 

Gorpcore khaki green tshirt. Features abstract print all over front! Excellent condition! 

✰ Measurements
Label - 2 fits M UK10/12
Length - 23.5”
Shoulder to shoulder - 15”
Pit to pit - 17.5”
Sleeve from pit - 1.25”
XS/S mannequin. (Pinned)

✰ 2+ items for free UK shipping!!
✰ USA - £10.65
✰ EUROPE - £9.20

🐸 Sales are final! 🐸","M","£25.00","=""-""","=""-""","=""-""","£2.50","=""-""","=""-""","=""-""","=""-""","STRIPE","T-shirts","GB","=""-""","=""-""","=""-""","N/A","N/A"
"04/03/2023","7:36 PM","02/02/2023","No","kiskismyau","Diesel","2000s Diesel tshirt 

Gorpcore vintage Diesel tshirt. Rusty brown colour with pink screen print ’D’. Print cracking due to age. Otherwise excellent condition! 

✰ Measurements
Label - M Fits S UK8-10
Length - 20""
Pit to pit - 15.5""
Shoulder to shoulder - 13""
Sleeve from pit - 2""
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £9.75
✰ EUROPE - £8.75

🐸 Sales are final! 🐸","M","£35.00","£3.95","£38.95","£0.00","£3.90","£1.43","=""-""","£0.89","£4.44","STRIPE","T-shirts","GB",,,,"N/A","N/A"
"05/03/2023","10:23 AM","05/10/2022","No","wearitwithasmile","N/A","Late 90s mesh maxi dress

90s 00s two layered mesh dress. Print design all over mesh black cotton under layer excellent condition! 

✰ Measurements
Label - No size fits S/M UK8-12
Length - 51”
Pit to pit - 15.5”
Waist - 13” (very stretchy)
Shoulder - 3.5”
Sleeve - 22”
XS/S mannequin. 

✰ 2nd class shipping 2+ items free UK shipping
✰ Please ask for international shipping!  
✰ USA - £20 shipping covers up to 3 items

🦋 Sales are final! 🦋","S","£41.00","£4.45","£45.45","£0.00","£4.54","£1.62","=""-""","£1.03","£5.13","STRIPE","Dresses","GB",,,,"N/A","N/A"
"05/03/2023","7:42 PM","27/02/2023","No","bethhollie_","Other","Gorpcore asymmetric zip jumper

Khaki jumper featuring neon asymmetric zips on front and sleeves. Rib knit details on sleeves hem and collar. Excellent condition!

✰ Measurements
Label - 2 fits M/L UK10/12/14
Length - 22”
Shoulder to shoulder - roughly 16”
Pit to pit - 17.5”
Sleeve from pit - 17.5”
XS/S mannequin. (Pinned to fit)

✰ 2+ items for free UK shipping!!
✰ USA - £19.80
✰ EUROPE - £11.12

🐸 Sales are final! 🐸","M","£42.00","£3.95","£45.95","£0.00","£4.60","£1.63","=""-""","£1.04","£5.19","STRIPE","Sweaters","GB",,,,"N/A","N/A"
"06/03/2023","12:55 AM","21/02/2023","No","miaxin","N/A","00s racing vest

Black racing tank top features silver and red rhinestones. Excellent condition! 

✰ Measurements
Label - 2 fits S/M UK8/10/12
Length - 21.5”
Pit to pit - 15”
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £9.75
✰ EUROPE - £8.75

🐸 Sales are final! 🐸
FC406","M","£23.00","£3.05","£26.05","£0.00","£2.60","£1.06","=""-""","£0.61","£3.05","STRIPE","Tank tops","GB",,,,"N/A","N/A"
"07/03/2023","7:48 AM","21/06/2022","Yes","dochogg","Morgan De Toi","Morgan de Toi swimsuit

00s 90s swimsuit. beaded leather straps on the top and bottoms have plastic hoops either side. One hoop has been stuck back together as shown and some staining on crotch. Otherwise in good condition!

✮ 2nd class shipping 1st class available (+£2)
✮ Please ask for international shipping!  
✮ USA - £20 shipping covers up to 3 items!

✮ Sizing
Label - U.K. 10
Shown on a Small mannequin. 

♡ Sales are final! ♡
#morgandetoi #y2k #00s #90s #summer","UK 10","£10.50","£0.00","£35.50","£0.00","£1.05","£1.33","=""-""","£0.40","£1.98","STRIPE","Swimwear","GB",,,,"N/A","N/A"
"07/03/2023","7:48 AM","21/02/2023","Yes","dochogg","N/A","00s racing vest

Black racing tank top features silver and red rhinestones. Missing a few silver gems otherwise Excellent condition! 

✰ Measurements
Label - 2 fits S/M UK8/10/12
Length - 21”
Pit to pit - 14.5”
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £9.75
✰ EUROPE - £8.75

🐸 Sales are final! 🐸
FC407","M","£25.00","=""-""","=""-""","=""-""","£2.50","=""-""","=""-""","=""-""","=""-""","STRIPE","Tank tops","GB","=""-""","=""-""","=""-""","N/A","N/A"
"08/03/2023","11:54 AM","28/02/2023","No","dollsoftheeast","N/A","Gorpcore khaki teddy tshirt 

2000s teddy bear tshirt. Features lighter green teddy silhouette with writing print. Excellent condition! 

✰ Measurements
Label - 2 fits M UK10/12
Length - 21”
Shoulder to shoulder - 13”
Pit to pit - 17”
Sleeve from pit - 1”
XS/S mannequin. (Pinned)

✰ 2+ items for free UK shipping!!
✰ USA - £10.65
✰ EUROPE - £9.20

🐸 Sales are final! 🐸","M","£28.00","£3.05","£31.05","£0.00","£3.10","£1.20","=""-""","£0.72","£3.58","STRIPE","T-shirts","GB",,,,"N/A","N/A"
"08/03/2023","4:50 PM","08/11/2022","No","minjycloset","Diesel","90s y2k Diesel biker jacket 

Light grey coloured vintage Diesel biker features embroidered writing across shoulders nice collar design with lots of interesting panels. Excellent condition!

✰ Measurements
Label - M
Length - 23”
Shoulder - 3.5”
Sleeve - 26.5”
Pit to pit - 18”
XS/S mannequin. (Pinned to fit)

✰ 2+ items for free UK shipping!!
✰ USA - £25
✰ EUROPE - £16

🦋 Sales are final! 🦋","M","£102.00","£15.00","£117.00","£0.00","£11.70","£3.69","=""-""","£2.56","£12.83","STRIPE","Outerwear","CA",,,,"£5.00","£0.66"
"08/03/2023","6:07 PM","27/02/2023","No","deadlypapilio","N/A","Gorpcore rib knit jumper 

Light khaki double zip jumper. Features rib knit design with zip up collar darker khaki detail on inside edge. Excellent condition!

✰ Measurements
Label - 2 Fits M/L UK10/12/14
Length - 20”
Pit to pit - 17.5”
Sleeve from pit - 19”
Sleeve from neck - 27”
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £19.80
✰ EUROPE - £11.12

🐸 Sales are final! 🐸","M","£45.00","£3.95","£48.95","£0.00","£4.90","£1.72","=""-""","£1.10","£5.52","STRIPE","Sweaters","GB",,,,"N/A","N/A"
"09/03/2023","8:12 PM","21/02/2023","No","nanilmx","N/A","Gorpcore khaki sling bag

Cross body khaki backpack. Features one large compartment on the back and one small Velcro pocket on strap. Strap fastens via Velcro strips. Excellent condition! 

✰ Measurements
Width - 14.5/15”
Height - 21”
Opening- 10.75”
Strap pocket - 2.5x5”
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £19.80
✰ EUROPE - £11.12

🐸 Sales are final! 🐸
FA30",,"£42.00","£19.80","£73.54","£0.00","£6.18","£0.00","=""-""","£1.03","£5.15","PAYPAL","Bags & Purses","DE","£11.74",,,"N/A","N/A"
"10/03/2023","12:50 AM","28/02/2023","No","katythrop","N/A","Asymmetric graphic tshirt 

2000s asymmetrical brown tshirt. Features lighter writing print all over front with contrast stitching details. Lettuce hem sleeves! Excellent condition! 

✰ Measurements
Label - 1 fits XS/S UK6/8
Length - 21”
Shoulder to shoulder - 13.5”
Pit to pit - 15.75”
Sleeve from pit - 1”
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £10.65
✰ EUROPE - £9.20

🐸 Sales are final! 🐸","XS","£26.00","£3.05","£29.05","£0.00","£2.90","£1.14","=""-""","£0.67","£3.37","STRIPE","T-shirts","GB",,,,"N/A","N/A"
"10/03/2023","2:12 PM","21/09/2022","No","nadirah1997","N/A","00s black cargo shirt

Vintage 2000s black shirt with three-quarter length sleeves and cargo detailing on the front. Features ties on the back and cuffs. Excellent condition!

✰ Measurements
Label - M fits UK10-12
Length - 21”
Pit to pit - 17.5”
Shoulder - 5”
Sleeve - 15.5”
XS/S mannequin. (Pinned to display fit)

✰ 2nd class shipping 2+ items free UK shipping
✰ Please ask for international shipping!  
✰ USA - £20 shipping covers up to 3 items

🦋 Sales are final! 🦋","M","£30.00","£20.00","£50.00","£0.00","£5.00","£1.75","=""-""","£1.13","£5.62","STRIPE","Shirts","US",,,,"£9.35","£1.26"
"12/03/2023","9:35 PM","21/02/2023","No","annie__rose","N/A","Alpinestars khaki tank

Khaki rib knit vest features neon orange logo printed around top eyelet detail on front. Excellent condition! 

✰ Measurements
Label - S fits XS/S UK6/8/10
Length - 21.5”
Pit to pit - 11.5” (stretchy)
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £9.75
✰ EUROPE - £8.75

🐸 Sales are final! 🐸
FC408","S","£30.00","£3.05","£33.05","£0.00","£3.30","£1.26","=""-""","£0.76","£3.80","STRIPE","Tank tops","GB",,,,"N/A","N/A"
"15/03/2023","1:41 PM","10/02/2023","No","lanagreene9","Diesel","Diesel cross body bag

Vintage Diesel bag khaki green colour adjustable strap nice diesel branded metal details. 3 main compartments and one small inner pocket. Excellent condition! 

✰ Measurements
Width - 11”
Height - 12”
Opening - 10.25”
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £20
✰ EUROPE - £12

🦋 Sales are final! 🦋
#gorpcore #utility #diesel",,"£79.00","£4.71","£83.71","£0.00","£8.37","£0.00","=""-""","£1.39","£6.98","PAYPAL","Bags & Purses","GB",,,,"N/A","N/A"
"15/03/2023","11:42 PM","27/02/2023","No","heartknit","Esprit","Edc gorpcore V-neck jumper

Edc by esprit grey rib knit jumper. Features cross over rib details on front and sleeves wide v-neck. Tiny repair on right arm by cross otherwise great condition!

✰ Measurements
Label - XS Fits UK6/8
Length - 20”
Shoulder to shoulder - 12” (stretchy)
Pit to pit - 13.5”
Sleeve from pit - 18”
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £14.40
✰ EUROPE - £9.70

🐸 Sales are final! 🐸","XS","£40.00","£14.40","£58.89","£0.00","£5.44","£2.01","=""-""","£1.24","£6.21","STRIPE","Sweaters","US",,"£4.49",,"N/A","N/A"
"17/03/2023","9:28 AM","07/01/2023","No","day_man","N/A","00s denim midi skirt 

Y2k 2000s asymmetric denim skirt. Features little strap which fastens at side of skirt. Excellent condition!

✰ Measurements
Label - no size fits S UK8-10
Length - 23.25”
Waist - 30”
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £13.15
✰ EUROPE - £11.70

🐰 Sales are final! 🐰","S","£30.00","£3.95","£33.95","£0.00","£3.40","£0.00","=""-""","£0.57","£2.83","PAYPAL","Skirts","GB",,,,"N/A","N/A"
"18/03/2023","8:43 AM","22/10/2022","No","libbyjxnes","N/A","00s y2k baby tee 

Y2k 2000s tshirt with graphic orange/black/red screen print. Good quality cotton chunky hem short sleeves. Excellent condition! 

✰ Measurements
Label - 1 fits S UK8-10
Length - 21.5”
Pit to pit - 14.75”
Shoulder - 3”
Sleeve - 5”
XS/S mannequin. 

✰ 2nd class shipping 2+ items free UK shipping
✰ Please ask for international shipping!  
✰ USA - £20 shipping covers up to 3 items

🦋 Sales are final! 🦋","S","£25.00","£3.15","£28.15","£0.00","£2.82","£1.12","=""-""","£0.66","£3.28","STRIPE","T-shirts","GB",,,,"N/A","N/A"
